panel,score,is_principal_integrated_score,reference_beta,reference_hc3_se,reference_p,reference_q_across_66,bootstrap_median_beta,bootstrap_95pct_low,bootstrap_95pct_high,direction_stability_probability,fdr_q_below_0_05_probability_across_66,bootstrap_interval_excludes_zero
CP8,CP8_CCR6_CCR4_helper_remodeling_score,False,0.38473117291798276,0.0647514781183447,4.1606614431676325e-09,9.153455174968792e-09,0.38463808545297723,0.2578488176811124,0.5131160081311517,1.0,1.0,True
CP8,CP8_Tfh_attenuation_score,False,0.30527331319818996,0.0705176403340801,1.6818480510308738e-05,2.7073651553179922e-05,0.3063552633112303,0.17207770503637274,0.44789124335029634,1.0,0.993,True
CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,True,0.5277080737486712,0.04061689246993118,3.026257856996297e-35,1.997330185617556e-33,0.528012683815609,0.44848837482122383,0.6050232898692364,1.0,1.0,True
CP22,CP22_B_cell_composition_depletion_score,False,0.31587232752225913,0.06387663857667845,9.227205654226663e-07,1.6916543699415548e-06,0.31574584050633214,0.18424666715219962,0.4395012403196682,1.0,0.9975,True
CP22,CP22_core_switched_memory_repatterning_score,False,0.37782496788310194,0.054377501158097065,7.517603609428515e-12,2.1572253835751388e-11,0.37654446945393394,0.2714448547159432,0.4818950289272734,1.0,1.0,True
CP22,CP22_Ig_isotype_repatterning_score,False,0.38013105234574934,0.04405652292556398,3.1781884104293076e-17,1.9069130462575848e-16,0.3797925449987001,0.2899212603410777,0.46511806899400193,1.0,1.0,True
CP22,CP22_plasmablast_activation_enrichment_score,False,0.3427825080476392,0.06162215346612706,3.592469784348654e-08,7.409468930219098e-08,0.3424330891241834,0.21795783679002556,0.46632433060779477,1.0,0.9995,True
CP22,CP22_transitional_immature_B_enrichment_score,False,0.4582132581786438,0.06575399658370783,6.556277384133503e-12,1.9668832152400508e-11,0.4554118767302984,0.3290498352458541,0.5835416024139957,1.0,1.0,True
CP22,CP22_CD39_regulatory_like_attenuation_score,False,0.21388911267530594,0.0710791901951151,0.0026994531159913707,0.0032993315862116755,0.21209780423691044,0.07210776370024576,0.36117096125906456,0.998,0.831,True
CP22,CP22_integrated_humoral_B_cell_remodeling_score,True,0.4080636680700662,0.03369090653687783,3.421561872209513e-31,1.1291154178291394e-29,0.40639730623699266,0.3395010481198652,0.4724561063469531,1.0,1.0,True
CP10,CP10_granulocyte_like_enrichment_score,False,0.5497525142826107,0.06391996089858999,3.964729512054816e-17,2.0128626753509065e-16,0.5489899252793277,0.4310074826781344,0.6681310913397632,1.0,1.0,True
CP10,CP10_myeloid_granulocytic_to_lymphoid_balance_score,False,0.4788495384644318,0.05459890627031847,1.0099818934168033e-17,6.665880496550902e-17,0.47639559677272475,0.37795204758068995,0.5796990701226675,1.0,1.0,True
CP10,CP10_monocyte_like_HLA_DR_phenotype_remodeling_score,False,0.44918416768513764,0.06274309947558042,1.7988577583615952e-12,5.936230602593264e-12,0.44712653852418754,0.3340750542760056,0.5670539528503233,1.0,1.0,True
CP10,CP10_APC_like_myeloid_enrichment_score,False,0.43404196191392325,0.0650928366918973,4.747601949508683e-11,1.305590536114888e-10,0.43230919648168886,0.3114183310671836,0.5557817905725652,1.0,1.0,True
CP10,CP10_CCR3_eosinophil_like_granulocytic_enrichment_score,False,-0.06925972847588444,0.0663483233363546,0.2968467734725632,0.30141364691060263,-0.07118051766311814,-0.20160920261355708,0.0571468444458089,0.864,0.1795,False
CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,True,0.4936015894631859,0.057359104850461154,3.814716751394726e-17,2.0128626753509065e-16,0.4911343043132639,0.38592704134957917,0.5978115359681235,1.0,1.0,True
CP16,CP16_APC_core_attenuation_score,False,0.214065322200858,0.0693439150012496,0.00208950350443981,0.0026520621402505284,0.21352334834172032,0.07762546176688602,0.35057566840095783,0.9985,0.8635,True
CP16,CP16_CD123_pDC_like_depletion_score,False,0.4200175636696751,0.0555150515807053,1.0306277262032954e-13,3.7789683294120835e-13,0.4175954883582079,0.3106542804287579,0.5270961101769943,1.0,1.0,True
CP16,CP16_CD141_CLEC9A_cDC1_like_depletion_score,False,0.3501399908326164,0.0628077842105002,3.359294117698883e-08,7.1520455409073e-08,0.35051952583623236,0.2239483065527353,0.46977938909240685,1.0,1.0,True
CP16,CP16_CD1c_cDC2_like_depletion_score,False,0.4967597514864298,0.055828613842971865,3.559914230806224e-18,2.6106037692578976e-17,0.49758018801365284,0.3886676933092984,0.6098655505124836,1.0,1.0,True
CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,True,0.44786015403684,0.04706480164464072,1.930734262227008e-20,1.8204065900997503e-19,0.4475746797308998,0.35072018707806346,0.543668316190124,1.0,1.0,True
CP16,CP16_monocyte_HLA_DR_low_remodeling_score,False,0.38823884279587606,0.0472988545051018,8.62160073308203e-16,3.697678078953866e-15,0.38752829184120974,0.29278325739012756,0.4847581966226262,1.0,1.0,True
CP23,CP23_CD45_dump_low_myeloid_enrichment_score,False,0.28804425506619313,0.06794444403753168,2.4946401073073005e-05,3.92014874005433e-05,0.28982310829696023,0.15873402874407275,0.4249864137605104,1.0,0.995,True
CP23,CP23_CD9_CD84_activation_attenuation_score,False,0.2504405744500116,0.06414856329336553,0.00010232174407710056,0.00014680945889323125,0.2502651453576872,0.1288776528362682,0.37355175630912546,1.0,0.975,True
CP23,CP23_FcERI_myeloid_attenuation_score,False,0.2365909208319293,0.07408812634144615,0.0014596289833051423,0.001926710257962788,0.23536251794069862,0.0979479823951496,0.3843308236732493,0.9975,0.8775,True
CP23,CP23_CD33_HLA_DR_myeloid_repatterning_score,False,0.2577869767330775,0.05302254886109397,1.3927429548741162e-06,2.356949615940812e-06,0.2569920694595601,0.15203832753811927,0.35396072786478494,1.0,0.9975,True
CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,True,0.2498002157416761,0.050805809320937347,1.0620018252109126e-06,1.8943816341600063e-06,0.24872715325084213,0.15713843084221565,0.34812631731695043,1.0,0.998,True
