panel_1,panel_2,score_1,score_2,n_pair,spearman_rho,spearman_p,spearman_q,pearson_r,pearson_p,pearson_q,cancer_spearman_rho,healthy_spearman_rho,same_direction_both_strata
CP16,CP22,CP16_integrated_APC_DC_myeloid_remodeling_score,CP22_integrated_humoral_B_cell_remodeling_score,829,0.2212703965281591,1.1846168221924549e-10,2.3519154237367307e-10,0.1745785304285107,4.240466849523106e-07,6.155516394469024e-07,0.2431905201633477,0.2363629075842536,True
CP16,CP23,CP16_integrated_APC_DC_myeloid_remodeling_score,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,829,0.235950146629419,5.9563305323135515e-12,1.489082633078388e-11,0.2357485148686112,6.214715566769011e-12,1.3983110025230274e-11,0.1938624630642763,0.2704521385647419,True
CP16,CP24,CP16_integrated_APC_DC_myeloid_remodeling_score,CP24_integrated_remodeling_score,829,0.0923062681312126,0.0078283538684802,0.0100650264023316,0.0844520528503252,0.0150052951814232,0.018249683328758,0.0867226678621844,0.1110581147858213,True
CP16,CP25,CP16_integrated_APC_DC_myeloid_remodeling_score,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,829,0.0818112540369691,0.0184761464000289,0.0230951830000361,0.1205216383730189,0.0005060189048298,0.0006900257793134,0.1006674478017774,0.0696619115729782,True
CP16,CP26,CP16_integrated_APC_DC_myeloid_remodeling_score,CP26_integrated_NK_remodeling_score,829,0.3231301668624464,1.3361088650543836e-21,6.680544325271918e-21,0.3518915890388824,1.4248990711969003e-25,8.015057275482563e-25,0.3390156149623097,0.3055267559843335,True
CP16,CP28,CP16_integrated_APC_DC_myeloid_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,829,0.2653972474573386,7.871327065844707e-15,2.724690138177014e-14,0.2498583317564633,2.894067362713803e-13,8.139564457632569e-13,0.2438106056952609,0.3065343893730157,True
CP22,CP23,CP22_integrated_humoral_B_cell_remodeling_score,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,832,0.1129585269264606,0.0010993853771455,0.0015460106866108,0.1593083430540347,3.878891231636778e-06,5.454690794489218e-06,0.1345116407430962,0.1079895224308127,True
CP22,CP24,CP22_integrated_humoral_B_cell_remodeling_score,CP24_integrated_remodeling_score,832,0.0767694747990837,0.0268074932785565,0.0326037080414877,0.0688362748306675,0.0471543259115938,0.053048616650543,0.0988435774343647,0.0426298649170931,True
CP22,CP25,CP22_integrated_humoral_B_cell_remodeling_score,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,832,0.2327169690425462,1.0755521903830292e-11,2.5473604509071745e-11,0.1750081168192024,3.780939495759321e-07,5.671409243638982e-07,0.2652938544935554,0.1651901674239266,True
CP22,CP26,CP22_integrated_humoral_B_cell_remodeling_score,CP26_integrated_NK_remodeling_score,832,0.2295220156932531,2.0824936953874527e-11,4.685610814621769e-11,0.2344647459727546,7.461973647396744e-12,1.598994353013588e-11,0.3005096391789844,0.1054271375818125,True
CP22,CP28,CP22_integrated_humoral_B_cell_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,832,0.202652978714396,3.6811331839355903e-09,6.135221973225983e-09,0.1926225310471199,2.14035334296552e-08,3.5672555716092e-08,0.2053796347640932,0.2356186340691925,True
CP23,CP24,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,CP24_integrated_remodeling_score,832,-0.0193329275614716,0.577622712325113,0.6044888849913973,-0.0134484322643689,0.6984997720533922,0.7309881335442476,-0.0598014069667202,0.0541902900993861,False
CP23,CP25,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,832,-0.0107441477007353,0.7569780200783938,0.7638860937495741,0.0059308681213861,0.8643678992694055,0.8643678992694055,-0.0780952772408508,0.1082381091647894,False
CP23,CP26,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,CP26_integrated_NK_remodeling_score,832,0.2637844779678047,1.0367294739831792e-14,3.332344737803076e-14,0.2820294421186408,1.1170042645085783e-16,3.590370850206145e-16,0.3312176108282637,0.1724964475033259,True
CP23,CP28,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,832,0.0636839365015653,0.0663535397727825,0.0746477322443803,0.0705969183582471,0.0417698901149211,0.0481960270556783,0.0535994207427953,0.0900001037364242,True
CP24,CP25,CP24_integrated_remodeling_score,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,832,0.2499817477671435,2.550875453197907e-13,6.752317376112107e-13,0.2876762921167294,2.5624907367865825e-17,8.870160242722784e-17,0.2901477465522195,0.1809851324766481,True
CP24,CP26,CP24_integrated_remodeling_score,CP26_integrated_NK_remodeling_score,832,0.0342187902653424,0.3242186997349329,0.3473771782874281,0.059300750485971,0.0873716851210859,0.0958957519621675,0.0462632882534903,-0.0073663330002029,False
CP24,CP28,CP24_integrated_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,832,0.5636147197007101,6.3111526412792535e-71,2.8400186885756645e-69,0.5269077304231602,1.2706495419154954e-60,2.858961469309865e-59,0.6127639163570798,0.4804925557695106,True
CP25,CP26,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,CP26_integrated_NK_remodeling_score,832,0.0757563925320197,0.0288885720190255,0.0342101510751618,0.1051224454065018,0.0023969810891365,0.0030818328288898,0.1030285859613801,0.0209487619152941,True
CP25,CP28,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,832,0.355589562956535,3.3378079420644493e-26,3.0040271478580047e-25,0.3691515418421406,2.938274959105165e-28,2.203706219328874e-27,0.3551192369247842,0.3498331984918437,True
CP26,CP28,CP26_integrated_NK_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,832,0.2561682962549085,6.215107375676614e-14,1.7479989494090472e-13,0.2365901204400619,4.764845032136336e-12,1.1285159286638692e-11,0.2494039162983614,0.2858790267696125,True
